timestamp,id,rating,group_22,ai_track,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,group_213,blended_course,is_ml_student
2024-08-12 00:01:06.000,8a95d7276b95b8b9c4cf8a5b402e98617ad7452977f6e6f89dfcfc310af5e3a4,737,226.0,,Microservices Development in Go,SQL Language,Distributed Systems,Computer Networks,Go Programming Language,Industrial Programming in Java,Yes,0.1444444444444445,,,
2024-08-14 00:00:22.000,289897d0cf42b4b42c50300f94b8b86f913174ae972d96811a15b9eaa247e173,486,2210.0,,Distributed Systems,Fundamentals of Information Retrieval,Fundamentals of Computer Game Development,Recommender Systems,Advanced Topics in Machine Learning,Stochastic Analysis,Yes,0.7962962962962963,,,True
2024-08-13 18:16:33.000,01f548f29a80a6f35b8ce1bdfdf723e2ba70a9c074c2f972cdc3d1e68840867d,494,223.0,,Statistical Learning Theory,Distributed Systems,Fundamentals of Tensor Computations,Stochastic Analysis,Special Topics in Matrix Analysis,Mathematical Foundations of Neural Network Models,Yes,0.7740740740740741,,,True
2024-08-14 10:22:37.000,68e3e62f6e017e43094bb63b4dde0b0229564cece838b5f1812637c922002f80,753,225.0,,Microservices Development in Go,SQL Language,Computer Systems Security,Industrial Programming in Java,Industrial Programming in Java,Industrial Programming in Java,Yes,0.09629629629629632,,,
2024-08-14 20:52:05.000,aac63ca42c5701a219d0e4f3289e17ed3160d5a2279790e97c893800ab7230e0,685,221.0,,Types in Programming Languages,Fundamentals of Information Retrieval,Database Systems,Advanced Topics in Machine Learning,Generative Models in Machine Learning (Advanced),Time Series Modeling,Yes,0.2759259259259259,,,True
2024-08-14 14:00:32.000,537289baa993102592a23c985703df0a862e830792a7511d86efc8954d6321cf,561,222.0,,Fundamentals of Computer Game Development,Computer Systems Security,Microservices Development in Go,Generative Models in Machine Learning (Advanced),Advanced Topics in Machine Learning,Recommender Systems,Yes,0.587037037037037,,,True
2024-08-14 21:38:13.000,4e97723f8c16cecadbb439e197d7690e8a5a39a32203b58df70b5c34d5bbcf97,536,2210.0,,Computer Systems Security,SQL Language,Statistical Learning Theory,Advanced Topics in Machine Learning,Advanced Topics in Machine Learning,Advanced Topics in Machine Learning,Yes,0.6666666666666667,,,True
2024-08-12 14:01:16.000,474bb5554761abd9566666a31fcf896a36e156db6a7d37b4ae2d84f9f8ab5ab9,674,226.0,,Database Systems,Database Systems,Database Systems,Computer Networks,Quantitative Finance,Recommender Systems,Yes,0.3037037037037037,,,
2024-08-14 17:18:35.000,bcca318e644999583156ff3ab9de3d6bd02295dcb166e39006568ffe9582207b,772,228.0,1.0,Computer Systems Security,Fundamentals of Computer Game Development,SQL Language,Computer Networks,Computer Networks,Computer Networks,Yes,0.051851851851851816,,,
2024-08-15 10:51:15.000,4cfcc4987ce90ec722b8ef26265d5e3da66a2ab01025402e118c1c695548c3ee,499,2210.0,,Distributed Systems,Database Systems,Microservices Development in Go,Recommender Systems,Advanced Topics in Machine Learning,Stochastic Analysis,Yes,0.762962962962963,,,True
2024-08-14 19:53:52.000,747a049cf1602e1c0331483ae1e6a4f84b040cf10ba3a4133e52bc35868b736a,554,228.0,,Fundamentals of Information Retrieval,Statistical Learning Theory,Computer Systems Security,Linguistics for Programmers,Time Series Modeling,Applied Machine Learning,Yes,0.6129629629629629,,,True
2024-08-13 18:45:17.000,6f55e5871cd9cffb3fba8b1606eb5e33b42ebacc17b8e19d62514e31ec2592a3,458,221.0,,Functional Programming,Types in Programming Languages,Fundamentals of Information Retrieval,Time Series Modeling,Generative Models in Machine Learning (Advanced),Special Topics in Matrix Analysis,Yes,0.8740740740740741,,,True
2024-08-14 22:56:56.000,2075180735f0273260529b9e83d13e7d680270c75aa24c90d52dc32dc4e0db9d,666,225.0,,Database Systems,Operating Systems 2,Computer Systems Security,,,,Yes,0.3222222222222222,,,
